filename,width,height,class,xmin,ymin,xmax,ymax
car1.png,0,0,bus,4,3,76,66
car1.png,0,0,bus,91,9,171,64
car1.png,0,0,bus,174,28,252,73
car1.png,0,0,bus,357,12,414,71
car1.png,0,0,bus,516,14,597,64
car1.png,0,0,bus,604,13,676,70
car1.png,0,0,bus,708,28,741,67
car1.png,0,0,car,11,83,79,145
car1.png,0,0,car,96,90,164,137
car1.png,0,0,car,186,92,248,138
car1.png,0,0,car,268,84,333,140
car1.png,0,0,car,346,76,420,147
car1.png,0,0,car,440,74,506,145
car1.png,0,0,car,688,78,761,138
car1.png,0,0,car,517,78,584,148
car1.png,0,0,car,777,88,840,134
car1.png,0,0,car,14,161,80,224
car1.png,0,0,car,91,158,159,216
car1.png,0,0,car,178,175,256,210
car1.png,0,0,car,266,166,332,210
car1.png,0,0,car,351,153,416,219
car1.png,0,0,car,521,168,589,204
car1.png,0,0,car,602,166,678,216
car1.png,0,0,car,693,166,759,209
car1.png,0,0,car,771,163,843,220
car1.png,0,0,car,9,237,78,291
car1.png,0,0,car,93,243,168,283
car1.png,0,0,car,178,253,253,285
car1.png,0,0,car,266,234,338,284
car1.png,0,0,car,360,238,407,288
car1.png,0,0,car,436,249,503,287
car1.png,0,0,car,526,240,578,287
car1.png,0,0,car,608,238,672,288
car1.png,0,0,car,774,237,848,298
car1.png,0,0,car,766,328,849,360
car1.png,0,0,car,689,340,738,363
car1.png,0,0,car,608,313,675,355
car1.png,0,0,car,515,321,586,359
car1.png,0,0,car,438,313,503,368
car1.png,0,0,car,263,325,336,367
car1.png,0,0,car,171,324,256,361
car1.png,0,0,car,5,318,81,367
car1.png,0,0,car,17,381,72,434
car1.png,0,0,car,88,306,149,368
car1.png,0,0,car,95,376,164,439
car1.png,0,0,car,174,391,252,435
car1.png,0,0,car,265,386,339,438
car1.png,0,0,car,358,381,408,443
car1.png,0,0,car,435,398,502,434
car1.png,0,0,car,516,387,592,440
car1.png,0,0,car,688,380,754,443
car1.png,0,0,car,615,388,666,443
car1.png,0,0,car,773,382,831,434
car1.png,0,0,car,20,453,63,520
car1.png,0,0,car,96,456,163,513
car1.png,0,0,car,175,461,254,513
car1.png,0,0,car,352,458,417,515
car1.png,0,0,car,260,463,340,511
car1.png,0,0,car,509,456,577,515
car1.png,0,0,car,596,453,633,513
car1.png,0,0,car,688,456,758,513
car1.png,0,0,car,773,458,834,518
car10.jpg,250,201,car,2,1,45,48
car10.jpg,250,201,car,102,2,147,46
car10.jpg,250,201,car,150,4,198,44
car10.jpg,250,201,car,204,104,244,147
car10.jpg,250,201,car,154,154,199,197
car10.jpg,250,201,car,51,156,95,196
car10.jpg,250,201,car,103,153,147,199
car10.jpg,250,201,car,1,153,46,197
car2.jpg,589,583,car,12,9,91,95
car2.jpg,589,583,car,202,8,292,95
car2.jpg,589,583,car,292,7,390,93
car2.jpg,589,583,car,392,12,483,95
car2.jpg,589,583,car,495,12,581,96
car2.jpg,589,583,car,9,107,97,197
car2.jpg,589,583,car,110,101,187,194
car2.jpg,589,583,car,209,106,287,192
car2.jpg,589,583,car,305,110,382,188
car2.jpg,589,583,car,399,98,481,191
car2.jpg,589,583,car,20,214,87,279
car2.jpg,589,583,car,497,104,570,194
car2.jpg,589,583,car,109,203,191,289
car2.jpg,589,583,car,204,198,286,288
car2.jpg,589,583,car,310,206,375,283
car2.jpg,589,583,car,408,204,473,284
car2.jpg,589,583,car,491,200,573,283
car2.jpg,589,583,car,17,303,89,385
car2.jpg,589,583,car,114,309,179,379
car2.jpg,589,583,car,205,296,285,385
