filename,width,height,class,xmin,ymin,xmax,ymax
2012.jpg,1600,900,soccerplayer,798,356,825,413
2012.jpg,1600,900,soccerplayer,762,454,786,520
2012.jpg,1600,900,soccerplayer,1177,501,1207,556
2012.jpg,1600,900,soccerplayer,1241,505,1265,573
2012.jpg,1600,900,soccerplayer,1373,491,1401,550
2012.jpg,1600,900,soccerplayer,1547,602,1573,665
2012.jpg,1600,900,soccerplayer,903,712,937,772
2012.jpg,1600,900,soccerplayer,832,272,868,324
2012.jpg,1600,900,soccerplayer,1067,240,1098,294
2012.jpg,1600,900,soccerplayer,1270,223,1296,285
2012.jpg,1600,900,soccerplayer,1419,160,1448,220
2012.jpg,1600,900,soccerplayer,1470,170,1495,228
2012.jpg,1600,900,soccerplayer,1526,361,1552,423
2012.jpg,1600,900,soccerplayer,570,105,597,163
2012.jpg,1600,900,soccerplayer,704,334,734,391
2012.jpg,1600,900,soccerplayer,1468,367,1493,420
2012.jpg,1600,900,soccerplayer,735,194,773,238
2357be78188bac43e7e3a688719f3d02.jpg,1280,720,soccerplayer,168,437,202,504
2357be78188bac43e7e3a688719f3d02.jpg,1280,720,soccerplayer,433,408,465,460
2357be78188bac43e7e3a688719f3d02.jpg,1280,720,soccerplayer,535,427,566,484
2357be78188bac43e7e3a688719f3d02.jpg,1280,720,soccerplayer,523,324,543,390
2357be78188bac43e7e3a688719f3d02.jpg,1280,720,soccerplayer,517,265,542,310
2357be78188bac43e7e3a688719f3d02.jpg,1280,720,soccerplayer,489,213,513,249
2357be78188bac43e7e3a688719f3d02.jpg,1280,720,soccerplayer,334,294,356,348
2357be78188bac43e7e3a688719f3d02.jpg,1280,720,soccerplayer,326,145,351,188
2357be78188bac43e7e3a688719f3d02.jpg,1280,720,soccerplayer,179,192,199,245
2357be78188bac43e7e3a688719f3d02.jpg,1280,720,soccerplayer,24,281,62,340
2357be78188bac43e7e3a688719f3d02.jpg,1280,720,soccerplayer,704,191,740,240
2357be78188bac43e7e3a688719f3d02.jpg,1280,720,soccerplayer,750,178,773,222
2357be78188bac43e7e3a688719f3d02.jpg,1280,720,soccerplayer,866,184,892,237
2357be78188bac43e7e3a688719f3d02.jpg,1280,720,soccerplayer,957,248,978,301
2357be78188bac43e7e3a688719f3d02.jpg,1280,720,soccerplayer,977,314,1001,380
2357be78188bac43e7e3a688719f3d02.jpg,1280,720,soccerplayer,821,380,857,434
2357be78188bac43e7e3a688719f3d02.jpg,1280,720,soccerplayer,768,341,794,400
2357be78188bac43e7e3a688719f3d02.jpg,1280,720,soccerplayer,843,261,865,314
2357be78188bac43e7e3a688719f3d02.jpg,1280,720,soccerplayer,774,232,796,273
2357be78188bac43e7e3a688719f3d02.jpg,1280,720,soccerplayer,678,261,709,310
2357be78188bac43e7e3a688719f3d02.jpg,1280,720,soccerplayer,379,315,404,367
2lfczl4j9mpb.jpg,1600,900,soccerplayer,367,272,390,334
2lfczl4j9mpb.jpg,1600,900,soccerplayer,430,684,473,761
2lfczl4j9mpb.jpg,1600,900,soccerplayer,1274,574,1309,645
2lfczl4j9mpb.jpg,1600,900,soccerplayer,1252,523,1280,582
2lfczl4j9mpb.jpg,1600,900,soccerplayer,965,341,981,410
2lfczl4j9mpb.jpg,1600,900,soccerplayer,926,362,952,416
2lfczl4j9mpb.jpg,1600,900,soccerplayer,653,146,677,200
2lfczl4j9mpb.jpg,1600,900,soccerplayer,688,188,715,246
2lfczl4j9mpb.jpg,1600,900,soccerplayer,807,247,829,307
2lfczl4j9mpb.jpg,1600,900,soccerplayer,902,257,947,301
2lfczl4j9mpb.jpg,1600,900,soccerplayer,846,69,877,139
2lfczl4j9mpb.jpg,1600,900,soccerplayer,1204,97,1230,155
2lfczl4j9mpb.jpg,1600,900,soccerplayer,1246,57,1281,108
2lfczl4j9mpb.jpg,1600,900,soccerplayer,1160,43,1185,93
2lfczl4j9mpb.jpg,1600,900,soccerplayer,1201,274,1224,336
2lfczl4j9mpb.jpg,1600,900,soccerplayer,1264,268,1285,333
2lfczl4j9mpb.jpg,1600,900,soccerplayer,1269,240,1297,279
2lfczl4j9mpb.jpg,1600,900,soccerplayer,1443,289,1464,341
2lfczl4j9mpb.jpg,1600,900,soccerplayer,1496,283,1525,352
2lfczl4j9mpb.jpg,1600,900,soccerplayer,1547,401,1570,461
A633-80.jpg,1000,556,soccerplayer,295,319,326,379
A633-80.jpg,1000,556,soccerplayer,94,275,137,332
A633-80.jpg,1000,556,soccerplayer,192,239,208,284
A633-80.jpg,1000,556,soccerplayer,191,193,215,231
A633-80.jpg,1000,556,soccerplayer,108,166,133,207
A633-80.jpg,1000,556,soccerplayer,1,198,24,254
A633-80.jpg,1000,556,soccerplayer,415,184,433,235
A633-80.jpg,1000,556,soccerplayer,416,240,445,291
A633-80.jpg,1000,556,soccerplayer,554,228,576,275
A633-80.jpg,1000,556,soccerplayer,825,326,852,384
A633-80.jpg,1000,556,soccerplayer,595,116,616,144
A633-80.jpg,1000,556,soccerplayer,491,321,529,380
A633-80.jpg,1000,556,soccerplayer,666,112,687,150
A633-80.jpg,1000,556,soccerplayer,667,190,692,239
A633-80.jpg,1000,556,soccerplayer,891,149,911,194
Bannerserver-now-supports-home-and-away-teams.png,1280,720,soccerplayer,500,297,535,362
Bannerserver-now-supports-home-and-away-teams.png,1280,720,soccerplayer,929,252,966,310
Bannerserver-now-supports-home-and-away-teams.png,1280,720,soccerplayer,1096,224,1123,304
Bannerserver-now-supports-home-and-away-teams.png,1280,720,soccerplayer,1037,319,1066,405
Bannerserver-now-supports-home-and-away-teams.png,1280,720,soccerplayer,1166,278,1193,340
Bannerserver-now-supports-home-and-away-teams.png,1280,720,soccerplayer,1206,150,1212,194
Bannerserver-now-supports-home-and-away-teams.png,1280,720,soccerplayer,1212,138,1222,184
Commerzbank_Arena_by_Leonidas_18_3.png,550,309,soccerplayer,218,205,234,238
Commerzbank_Arena_by_Leonidas_18_3.png,550,309,soccerplayer,285,170,298,197
Commerzbank_Arena_by_Leonidas_18_3.png,550,309,soccerplayer,368,150,376,174
Commerzbank_Arena_by_Leonidas_18_3.png,550,309,soccerplayer,368,133,376,152
Commerzbank_Arena_by_Leonidas_18_3.png,550,309,soccerplayer,293,107,304,126
Commerzbank_Arena_by_Leonidas_18_3.png,550,309,soccerplayer,279,120,289,143
Commerzbank_Arena_by_Leonidas_18_3.png,550,309,soccerplayer,271,140,275,164
Commerzbank_Arena_by_Leonidas_18_3.png,550,309,soccerplayer,276,136,282,163
Commerzbank_Arena_by_Leonidas_18_3.png,550,309,soccerplayer,173,130,182,155
Commerzbank_Arena_by_Leonidas_18_3.png,550,309,soccerplayer,235,121,245,143
Commerzbank_Arena_by_Leonidas_18_3.png,550,309,soccerplayer,139,128,151,148
Commerzbank_Arena_by_Leonidas_18_3.png,550,309,soccerplayer,102,143,115,168
Commerzbank_Arena_by_Leonidas_18_3.png,550,309,soccerplayer,102,108,109,127
Commerzbank_Arena_by_Leonidas_18_3.png,550,309,soccerplayer,58,123,70,148
Commerzbank_Arena_by_Leonidas_18_3.png,550,309,soccerplayer,4,151,20,178
Commerzbank_Arena_by_Leonidas_18_3.png,550,309,soccerplayer,464,109,475,127
Commerzbank_Arena_by_Leonidas_18_3.png,550,309,soccerplayer,475,141,484,165
Commerzbank_Arena_by_Leonidas_18_3.png,550,309,soccerplayer,514,123,527,149
cxegno77q67h.jpg,1680,1050,soccerplayer,415,332,454,420
cxegno77q67h.jpg,1680,1050,soccerplayer,409,701,469,777
cxegno77q67h.jpg,1680,1050,soccerplayer,711,759,737,823
cxegno77q67h.jpg,1680,1050,soccerplayer,730,722,765,790
cxegno77q67h.jpg,1680,1050,soccerplayer,933,682,966,757
cxegno77q67h.jpg,1680,1050,soccerplayer,1239,644,1272,718
cxegno77q67h.jpg,1680,1050,soccerplayer,1189,550,1229,640
cxegno77q67h.jpg,1680,1050,soccerplayer,1129,608,1162,690
cxegno77q67h.jpg,1680,1050,soccerplayer,943,591,981,657
cxegno77q67h.jpg,1680,1050,soccerplayer,729,466,764,533
cxegno77q67h.jpg,1680,1050,soccerplayer,718,412,764,458
cxegno77q67h.jpg,1680,1050,soccerplayer,590,418,625,487
cxegno77q67h.jpg,1680,1050,soccerplayer,816,294,852,359
cxegno77q67h.jpg,1680,1050,soccerplayer,773,220,793,282
cxegno77q67h.jpg,1680,1050,soccerplayer,786,211,811,269
cxegno77q67h.jpg,1680,1050,soccerplayer,1012,191,1052,255
cxegno77q67h.jpg,1680,1050,soccerplayer,1122,233,1165,308
cxegno77q67h.jpg,1680,1050,soccerplayer,1095,329,1140,416
cxegno77q67h.jpg,1680,1050,soccerplayer,1015,327,1054,405
